Tahun,PDB,Inflasi,Suku Bunga,Penjualan,PDB Transportasi,IHK Transport
2023-10-1,3129699,2.56,6,6354,"407,850.07",121.50
2023-11-1,3134429.8,2.86,6,8352,"411,842.35",121.59
2023-12-1,3139160.6,2.61,6,9619,"415,834.62",122.14
2024-1-1,3130453.7,2.57,6,7176,"414,894.99",108.85
2024-2-1,3121746.8,2.75,6,4999,"413,955.35",109.04
2024-3-1,3113039.9,3.05,6,6966,"413,015.72",109.08
2024-4-1,3152356.7,3,6.25,5259,"418,641.09",110.09
2024-5-1,3191673.5,2.84,6.25,6054,"424,266.46",109.69
2024-6-1,3230990.3,2.51,6.25,7879,"429,891.83",109.81
2024-7-1,3247163.467,2.13,6.25,9292,"430,017.46",109.84
2024-8-1,3263336.633,2.12,6.25,10975,"430,143.08",110.08
2024-9-1,3279509.8,1.84,6,10426,"430,268.71",109.90
2024-10-1,3285253.767,1.71,6,10159,"434,403.74",109.33
2024-11-1,3290997.733,1.55,6,10481,"438,538.77",109.44
2024-12-1,3296741.7,1.57,6,10148,"442,673.80",109.48
